filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1969-12-16HR00_evid00006.mseed,1969-12-16T22:09:36.027057,79775.84905660378
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-01-09HR00_evid00007.mseed,1970-01-09T17:32:26.993925,63146.8679245283
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-02-07HR00_evid00014.mseed,1970-02-07T18:55:32.495528,68131.92452830188
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-02-18HR00_evid00016.mseed,1970-02-18T12:14:24.601830,44064.45283018868
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-03-14HR00_evid00018.mseed,1970-03-14T00:00:00.520000,0.0
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-03-30HR00_evid00020.mseed,1970-03-30T20:39:47.503388,74378.11320754717
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-04-03HR00_evid00021.mseed,1970-04-03T10:52:15.293396,39134.943396226416
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-05-20HR00_evid00026.mseed,1970-05-20T06:42:09.831547,24129.20754716981
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-05-23HR00_evid00027.mseed,1970-05-23T13:17:11.090396,47830.943396226416
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-05-24HR00_evid00028.mseed,1970-05-24T11:59:23.686868,43163.018867924526
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-05-25HR00_evid00029.mseed,1970-05-25T14:21:47.715811,51707.16981132075
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-06-19HR00_evid00031.mseed,1970-06-19T05:31:58.200736,19918.037735849055
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-07-17HR00_evid00035.mseed,1970-07-17T15:37:05.887547,56225.20754716981
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-07-18HR00_evid00036.mseed,1970-07-18T21:18:12.541472,76692.07547169812
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-07-20HR00_evid00037.mseed,1970-07-20T05:10:33.090774,18632.603773584906
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-07-27HR00_evid00039.mseed,1970-07-27T00:52:51.697811,3171.169811320755
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-09-09HR00_evid00043.mseed,1970-09-09T02:13:49.408019,8029.2830188679245
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-10-26HR00_evid00049.mseed,1970-10-26T15:25:57.118132,55556.981132075474
./data/lunar/test/data/S12_GradeB/xa.s12.00.mhz.1970-11-03HR00_evid00050.mseed,1970-11-03T17:24:42.055377,62681.660377358494
